Set,CardID,Name,Identifier,Color,Type,Attribute,Ability,Cost,Vibe,Rarity,FeaturingPudgy,IllusName,imageURL
Eth,91,Chisel from Stone,ChiselfromStone,Green,Action,EMPTY,"Choose a Green Character in your huddle.
Count its vibe, divide it by four, and round up.
Draw that many cards.",GGGG,EMPTY,Uncommon,"1351, 1670, 1967, 5136",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/ChiselfromStone.png
Eth,92,Clean Up Good,CleanUpGood,Green,Action,EMPTY,"Choose a Green Character in your huddle.
Unflop it and double its vibe
for the rest of this Cycle.",GGG,EMPTY,Common,"5113, 8158, 6625",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/CleanUpGood.png
Eth,93,Escape in Time,EscapeinTime,Green,Action,EMPTY,"Cancel an [ACT] or Action
that chooses a Character in your huddle.",GG,EMPTY,Common,"5367, 7839",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/EscapeinTime.png
Eth,94,Everybody Stay Clam,EverybodyStayClam,Green,Action,EMPTY,Flop all Characters in play. Draw a card.,GGG,EMPTY,Uncommon,"1762, 1204, 2450",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/EverybodyStayClam.png
Eth,95,Got 'Em!,GotEm,Green,Action,Saucy,"You can only play this Action if it's face-down
as a Rod. Flip this card over to play it.
Choose a Character with vibe 2 or less.
Ice that Character.",0,EMPTY,Rare,1369,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/GotEm.png
Eth,96,Lost in the Sauce,LostintheSauce,Green,Action,EMPTY,Choose a Character and put 2 vibe counters on it.,G,EMPTY,Common,4469,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/LostintheSauce.png
Eth,97,Raid the Snacks,RaidtheSnacks,Green,Action,EMPTY,"You get two Fishsicles.
(A Fishsicle produces one _T_, then goes away).",GG,EMPTY,Common,"2919, 2792",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/RaidtheSnacks.png
Eth,98,Luca Saves the Penguins,LucaSavesthePenguins,Green,Action,EMPTY,"Choose a Character in your opponent's huddle.
It joins your huddle.",GGGGG,EMPTY,Mythic,"6445, 5163, 3284, 371, 2877",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/LucaSavesthePenguins.png
Eth,99,Send Off,SendOff,Green,Action,EMPTY,"Choose a Character in your huddle. Ice that Character.
You get Fishsicles equal to half that Character's vibe,
rounded up. (A Fishsicle produces one _T_,
then goes away).",GGG,EMPTY,Uncommon,"1428, 5485, 1481",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/SendOff.png
Eth,100,Too Cool for School,TooCoolforSchool,Green,Action,EMPTY,"You can only play this Action if there's
a Character in your huddle that's vibing more than
your opponent's highest vibing Character
by 6 or more. Ice all Characters.",GGG,EMPTY,Rare,"8495, 7704, 6833",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/TooCoolforSchool.png
Eth,101,Walk the Runway,WalktheRunway,Green,Action,EMPTY,"Choose a Character in your huddle
and a Character in your opponent's huddle.
Ice the one that's vibing the least.
If there's a tie, ice them both.",GG,EMPTY,Uncommon,"7334, 2723",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/WalktheRunway.png
Eth,102,You Dropped This,YouDroppedThis,Green,Action,EMPTY,"As an additional cost to play this Action,
ice a Character in your huddle with vibe
6 or greater. Choose a Character and put
6 vibe counters on it.",GG,EMPTY,Common,"1647, 7850",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/YouDroppedThis.png
Eth,103,Bashful Swordsman Penguin,BashfulSwordsmanPenguin,Blue,Character,Swordsman Penguin,"Whenever a Character wins Vibe Check,
if this Character is unflopped, ice that Character.
(They still win Vibe Check).",3,14,Rare,6025,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/BashfulSwordsmanPenguin.png
Eth,104,Blue Mega Penguin,BlueMegaPenguin,Blue,Character,Mega Penguin,"As an additional cost to play this Character,
ice a Character in your huddle. You can look
at the top card of your deck at any time.
If it's a Relic card, you can play it.",5,6,Mythic,3578,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/BlueMegaPenguin.png
Eth,105,Blue Wizard Penguin,BlueWizardPenguin,Blue,Character,Wizard Penguin,Enters flopped.,2,2,Uncommon,114,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/BlueWizardPenguin.png
Eth,106,Bottle Penguin,BottlePenguin,Blue,Character,Penguin,[ACT] _F_: Ice the top card of each player's deck.,2,2,Common,1522,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/BottlePenguin.png
Eth,107,Cannonball Penguin,CannonballPenguin,Blue,Character,Penguin,"When this Character enters the huddle, choose a player.
Ice the top three cards of their deck.",4,6,Common,2580,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/CannonballPenguin.png
Eth,108,Amazing Penguin,AmazingPenguin,Blue,Character,Penguin,,3,6,Common,4043,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/AmazingPenguin.png
Eth,109,Thawing Penguin,ThawingPenguin,Blue,Character,Thawing Penguin,"Characters can't win Vibe Check
unless their vibe is greater than four times
the number of Thawing Penguins in your huddle.",3,4,Uncommon,8226,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/ThawingPenguin.png
Eth,110,Dragonrider Penguin,DragonriderPenguin,Blue,Character,Penguin,"When this Character enters the huddle,
you may pick a card in your opponent's ice
and put it on top of their deck.",6,6,Uncommon,4803,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/DragonriderPenguin.png
Eth,111,Fact-Finding Penguin,FactFindingPenguin,Blue,Character,Penguin,"Whenever an Action card
is put in your opponent's ice from their deck,
put 2 vibe counters on this Character.",5,4,Uncommon,1078,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/FactFindingPenguin.png
Eth,112,Frosty the Penguin,FrostythePenguin,Blue,Character,Penguin,,2,4,Common,4742,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/FrostythePenguin.png
Eth,113,Jealous Penguin,JealousPenguin,Blue,Character,Penguin,"As you play Jealous Penguin, pick a Character card in your opponent's ice. This Character enters the huddle with the picked card on top of this one. This Character inherits all characteristics of that card.",5,?,Rare,4113,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/JealousPenguin.png
Eth,114,"Miss Chief, Keeper of Keys",MissChiefKeeperofKeys,Blue,Character,Penguin,"[ACT] _F_: Choose an opponent. Ice cards
from the top of their deck equal to
half this Character's vibe, rounded up.",6,6,Common,4121,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/MissChiefKeeperofKeys.png
Eth,115,"Miss Place, Forgetter of Things",MissPlaceForgetterofThings,Blue,Character,Penguin,"When this Character enters the huddle,
pick a card in your opponent's ice.
Cards with the same name as that card can't be
played while this Character is in your huddle.",6,6,Common,3212,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/MissPlaceForgetterofThings.png
Eth,116,Painter Penguin,PainterPenguin,Blue,Character,Penguin,"As an additional cost to play this Character,
pick four Action cards in your ice and put them
on the bottom of your deck.",4,10,Common,5176,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/PainterPenguin.png
Eth,117,Penguin Caught in Fishing Line,PenguinCaughtinFishingLine,Blue,Character,Penguin,[ACT] _F_: Flop all Characters. Ice this Character.,4,2,Common,8054,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/PenguinCaughtinFishingLine.png
Eth,118,Penguin Who Explores the Reef,PenguinWhoExplorestheReef,Blue,Character,Penguin,"Whenever a Character in your huddle
wins Vibe Check, choose an opponent.
Ice cards from the top of that player's deck
equal to half that Character's vibe, rounded up.",6,6,Uncommon,1273,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/PenguinWhoExplorestheReef.png
Eth,119,Penguin Who's OK,PenguinWhosOK,Blue,Character,Penguin,"Whenever you draw a card, choose a player.
Ice the top card of their deck.",2,2,Common,4874,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/PenguinWhosOK.png
Eth,120,Penguin With Hoops,PenguinWithHoops,Blue,Character,Penguin,[ACT] _F_: Each player draws a card.,3,4,Uncommon,2131,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/PenguinWithHoops.png
Eth,121,Porthole Penguin,PortholePenguin,Blue,Character,Penguin,"Whenever you lose the Baron,
look at the top card of your opponent's deck.
You may put it on the bottom of their deck.
(You look before they get their prize).",3,4,Common,1083,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/PortholePenguin.png
Eth,122,"Rad Chill, Who's Super Cool",RadChillWhosSuperCool,Blue,Character,Penguin,"Enters flopped.
[ACT] _F_: Choose an opponent.
Ice cards from the top of their deck
equal to the number of cards
that player already has in their ice.",10,10,Mythic,1,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/RadChillWhosSuperCool.png
Eth,123,Sneaky Penguin,SneakyPenguin,Blue,Character,Penguin,"At the start of your turn,
look at the top card of your deck.
You may put it on the bottom of your deck.",3,4,Common,3720,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/SneakyPenguin.png
Eth,124,Tidal Penguin,TidalPenguin,Blue,Character,Penguin,"[ACT] _F_: Choose an opponent and ice all cards
in their hand. They draw that many cards, then
ice that many cards from the top of their deck.",9,10,Rare,7459,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/TidalPenguin.png
Eth,125,Waterfall Penguin,WaterfallPenguin,Blue,Character,Penguin,"At the start of Action Time,
if you don't have the Baron, choose an opponent.
Ice the top three cards of their deck.",6,6,Common,5566,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/WaterfallPenguin.png
Eth,126,Bedtime Story,BedtimeStory,Blue,Action,EMPTY,"Choose a Character with vibe less than
or equal to twice the number of Character cards
its controller has in their ice. Ice that Character.",BB,EMPTY,Uncommon,"2286, 6272",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/BedtimeStory.png
Eth,127,Bridge With Layer Zero,BridgeWithLayerZero,Blue,Action,EMPTY,"Choose a Character in your opponent's huddle.
Swap it with a Character card in its owner's ice.
(That Character enters the huddle, but is not played).",BB,EMPTY,Common,"3327, 709",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/BridgeWithLayerZero.png
Eth,128,Cool Story Bro!,CoolStoryBro,Blue,Action,Saucy,"You can only play this Action if it's face-down
as a Rod. Flip this card over to play it. Choose
a player and ice the top two cards of their deck.",0,EMPTY,Rare,7399,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/CoolStoryBro.png
Eth,129,"Don't Trust, Verify",DontTrustVerify,Blue,Action,EMPTY,"Name a card. Reveal the top card of your deck.
If it's the named card, put it into your hand
and draw an additional card. Otherwise,
put it back on top of your deck.",B,EMPTY,Uncommon,3602,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/DontTrustVerify.png
Eth,130,Ingenious Idea,IngeniousIdea,Blue,Action,EMPTY,"Draw two cards. Pick a card in your hand
and put it on top of your deck.",BBB,EMPTY,Uncommon,"5215, 8377, 951",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/IngeniousIdea.png
Eth,131,Keep Digging,KeepDigging,Blue,Action,EMPTY,"Choose an opponent. They reveal their hand.
Pick a non-Character card from it and ice that card.",BB,EMPTY,Rare,"4993, 5610",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/KeepDigging.png
Eth,132,Questionable Methods,QuestionableMethods,Blue,Action,EMPTY,"Pick an Action card in your opponent's ice.
Until the end of this Cycle, you can play that Action.
You can spend Pudge of any color to play that Action.",BBB,EMPTY,Common,"1695, 5791, 8820",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/QuestionableMethods.png
Eth,133,Send It Too Hard,SendItTooHard,Blue,Action,EMPTY,"You can only play this Action
if your opponent has fifteen or more
cards in their ice. Ice all Characters.",BB,EMPTY,Rare,"5449, 6922",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/SendItTooHard.png
Eth,134,Spring a Leak,SpringaLeak,Blue,Action,EMPTY,Choose an Action and cancel it.,BB,EMPTY,Common,"7780, 3641",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/SpringaLeak.png
Eth,135,Three Wise Penguins,ThreeWisePenguins,Blue,Action,EMPTY,"Choose two Rods you don't control
and return each to its owner's hand.",BBB,EMPTY,Rare,"1279, 2493, 4836",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/ThreeWisePenguins.png
Eth,136,Unlikely Friends,UnlikelyFriends,Blue,Action,EMPTY,"Choose a Character in your opponent's huddle.
That player may ice cards from the top of their deck
equal to that Character's vibe. If they do not,
 ice that Character.",BB,EMPTY,Common,"3906, 6787",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/UnlikelyFriends.png
Eth,137,Absent-Minded Penguin,AbsentMindedPenguin,Purple,Character,Penguin,"[ACT] _F_: Choose a Character in your huddle and ice it.
Put two vibe counters on this Character.",4,2,Common,2101,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/AbsentMindedPenguin.png
Eth,138,Abstract Penguin,AbstractPenguin,Purple,Character,Penguin,"[ACT] _F_, Ice a card from your hand:
Put 2 vibe counters on this Character.",3,4,Common,7350,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/AbstractPenguin.png
Eth,139,Ambitious Penguin,AmbitiousPenguin,Purple,Character,Penguin,"Whenever a player plays an Action,
if this Character is unflopped and
you have less than fifteen cards in your ice,
 return this Character to its owner's hand.",5,12,Common,2243,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/AmbitiousPenguin.png
Eth,140,Ascending Penguin,AscendingPenguin,Purple,Character,Penguin,"Whenever a Character enters your huddle,
ice cards from the top of your deck equal to
half that Character's vibe, rounded up.",4,2,Common,5752,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/AscendingPenguin.png
Eth,141,"Bizmo, PhD Candidate",BizmoPhDCandidate,Purple,Character,Penguin,"When this Character enters the huddle,
if you have no cards in your deck,
you win the game.",2,2,Uncommon,1221,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/BizmoPhDCandidate.png
Eth,142,Brainy Penguin,BrainyPenguin,Purple,Character,Penguin,"When this Character enters the huddle,
ice up to two cards in your hand.
Draw that many cards.",3,2,Rare,3700,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/BrainyPenguin.png
Eth,143,"Bubbles, the Great and Powerful",BubblestheGreatandPowerful,Purple,Character,Penguin,"This Character's vibe is equal to
twice the number of Character cards in your ice.",8,?,Rare,6195,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/BubblestheGreatandPowerful.png
Eth,144,"Bunkus, Who Is the Stars",BunkusWhoIstheStars,Purple,Character,Penguin,"Playable from ice. As you play Bunkus,
put up to twelve cards from your ice on the bottom
of your deck to reduce Bunkus' cost by that amount.
Bunkus' vibe is twice the number of
Character cards in your ice.",12,?,Mythic,8773,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/BunkusWhoIstheStars.png
Eth,145,Charming Swordsman Penguin,CharmingSwordsmanPenguin,Purple,Character,Swordsman Penguin,"This Character can only [ACT] if its vibe is,
or is tied with, the highest vibe in your huddle.
[ACT] _F_: Choose a Character
in your opponent's huddle and flop it.",3,4,Rare,209,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/CharmingSwordsmanPenguin.png
Eth,146,Cooking Penguin,CookingPenguin,Purple,Character,Penguin,"Playable from ice by icing a Rod you control
in addition to paying its Fish cost.",3,4,Uncommon,6701,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/CookingPenguin.png
Eth,147,Demolition Penguin,DemolitionPenguin,Purple,Character,Penguin,"When this Character enters the huddle,
you may pick a card in your ice.
If you do, put it face-down as a Rod
and ice a Rod you control.",3,2,Common,3493,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/DemolitionPenguin.png
Eth,148,Galaxy Penguin,GalaxyPenguin,Purple,Character,Penguin,"When this Character enters the huddle,
search your deck for a Character card
and put it in your ice. Shuffle your deck.",5,6,Uncommon,4590,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/GalaxyPenguin.png
Eth,149,Gardenkeeper Penguin,GardenkeeperPenguin,Purple,Character,Penguin,"As an additional cost to play this Character,
pick five cards in your ice and put them
on the bottom of your deck. When this Character
enters the huddle, ice the top five cards of your deck.",6,6,Common,4771,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/GardenkeeperPenguin.png
Eth,150,Penguin With a Flag,PenguinWithaFlag,Purple,Character,Penguin,"As an additional cost to play this Character,
ice a Rod you control.",4,10,Uncommon,4981,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/PenguinWithaFlag.png
Eth,151,Moonlit Penguin,MoonlitPenguin,Purple,Character,Penguin,,2,4,Common,4279,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/MoonlitPenguin.png
Eth,152,Penguin Who Breaks the Fourth Wall,PenguinWhoBreakstheFourthWall,Purple,Character,Penguin,"You can't play this Character from your
hand. Playable from ice by icing two Rods
you control in addition to paying its Fish cost.",2,9,Common,2535,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/PenguinWhoBreakstheFourthWall.png
Eth,153,Penguin Who Carries the Berg,PenguinWhoCarriestheBerg,Purple,Character,Penguin,"Whenever one of your Rods is iced from play,
put 2 vibe counters on this Character.",2,2,Common,4425,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/PenguinWhoCarriestheBerg.png
Eth,154,Penguin Who Runs the Lift,PenguinWhoRunstheLift,Purple,Character,Penguin,"At the start of Action Time,
if there are eight or more cards in your ice,
boost this Character's vibe by 6
for the rest of this Cycle.",2,2,Common,2863,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/PenguinWhoRunstheLift.png
Eth,155,Prosperous Penguin,ProsperousPenguin,Purple,Character,Penguin,"When this Character enters the huddle,
you may pick an Action card in your ice with
Pudge cost 2. If you do, you can play it this Cycle.
(You must still pay its costs).",3,2,Common,7092,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/ProsperousPenguin.png
Eth,156,Purple Mega Penguin,PurpleMegaPenguin,Purple,Character,Mega Penguin,"As an additional cost to play this Character,
ice a Character in your huddle. When this Character
enters the huddle, you may pick a card in your ice
and put it into your hand.",5,6,Mythic,292,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/PurpleMegaPenguin.png
Eth,157,Purple Wizard Penguin,PurpleWizardPenguin,Purple,Character,Wizard Penguin,Enters flopped.,2,2,Uncommon,1019,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/PurpleWizardPenguin.png
Eth,158,Space Cadet Penguin,SpaceCadetPenguin,Purple,Character,Penguin,"As an additional cost to play this Character,
ice a card from your hand. When this Character
enters the huddle, choose a Rod you control
and a Rod you don't control. Ice those Rods.",3,2,Common,1969,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/SpaceCadetPenguin.png
Eth,159,Unmasked Penguin,UnmaskedPenguin,Purple,Character,Penguin,,3,6,Common,8204,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/UnmaskedPenguin.png
Eth,160,Adventure Squad,AdventureSquad,Purple,Action,EMPTY,"Choose a Character in your huddle
and a Character in your opponent's huddle.
Ice the one that's vibing the most.
If there's a tie, ice them both.",PP,EMPTY,Uncommon,"1062, 2227",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/AdventureSquad.png
Eth,161,Change Perspective,ChangePerspective,Purple,Action,EMPTY,"Reveal the top three cards of your deck.
Your opponent separates those into two groups.
Pick one group and put it into your hand.
Ice the cards in the other group.",PPP,EMPTY,Uncommon,"8457, 4895, 7597",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/ChangePerspective.png
Eth,162,Chase Your Dreams,ChaseYourDreams,Purple,Action,EMPTY,"You can't play this Action from your hand.
Playable from ice. Draw a card, then put this Action
on the bottom of your deck.",PPP,EMPTY,Common,"2022, 8880, 737",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/ChaseYourDreams.png
Eth,163,Gather Together,GatherTogether,Purple,Action,EMPTY,"Pick a Character card in your ice. During your next turn,
you can play that card by icing a Rod you control
in addition to paying its Fish cost.",PPPP,EMPTY,Common,"203, 8036, 1840, 5274",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/GatherTogether.png
Eth,164,Have a Philosophical Debate,HaveaPhilosophicalDebate,Purple,Action,EMPTY,"Choose a Character. You may move cards
from your ice to the bottom of your deck
equal to that Character's Fish cost.
If you do, ice that Character.",PP,EMPTY,Uncommon,"7577, 7553",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/HaveaPhilosophicalDebate.png
Eth,165,One With History,OneWithHistory,Purple,Action,EMPTY,Return all Character cards in your ice to your hand.,PPPPPPP,EMPTY,Rare,"7293, 2892, 2175, 6587, 6824, 2358, 1925",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/OneWithHistory.png
Eth,166,Overwhelm With Knowledge,OverwhelmWithKnowledge,Purple,Action,EMPTY,"Playable from ice by icing a Rod you control
instead of paying this card's Pudge cost.
If you play this Action from your ice,
put this card on the bottom of your deck.
Draw a card.",P,EMPTY,Common,8519,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/OverwhelmWithKnowledge.png
Eth,167,Sick Pull!,SickPull,Purple,Action,Saucy,"You can only play this Action if it's face-down
as a Rod. Flip this card over to play it.
Each player draws a card.",0,EMPTY,Rare,7766,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/SickPull.png
Eth,168,Spring Break,SpringBreak,Purple,Action,EMPTY,"You can only play this Action if you have
fifteen or more cards in your ice.
Ice all Characters.",PPPP,EMPTY,Rare,"2309, 640, 273, 4703",Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/SpringBreak.png
Eth,169,Study All Night,StudyAllNight,Purple,Action,EMPTY,Draw two cards. Ice two cards from your hand.,P,EMPTY,Common,4350,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/StudyAllNight.png
Eth,170,Wut?,Wut,Purple,???,EMPTY,"When this card is put in your ice,
ice the top card of your deck.",EMPTY,EMPTY,Rare,635,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/Wut.png
Eth,171,Aha Penguin,AhaPenguin,Colorless,Character,Penguin,"Whenever an opponent wins Vibe Check,
put 2 vibe counters on this Character.",3,2,Common,4406,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/AhaPenguin.png
Eth,172,Boat-Tying Penguin,BoatTyingPenguin,Colorless,Character,Penguin,"[ACT] _F_: Choose a Character with vibe
equal to or less than the number of
Characters in your huddle and put
2 vibe counters on it.",4,6,Common,1917,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/BoatTyingPenguin.png
Eth,173,Hungry Penguin,HungryPenguin,Colorless,Character,Penguin,"[ACT] _F_: Choose a Character with vibe greater than
this Character's vibe and flop it.",6,6,Uncommon,7161,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/HungryPenguin.png
Eth,174,Inquisitive Penguin,InquisitivePenguin,Colorless,Character,Penguin,This Character doesn't participate in Vibe Check.,0,1,Common,8297,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/InquisitivePenguin.png
Eth,175,Introvert Penguin,IntrovertPenguin,Colorless,Character,Penguin,"This Character doesn't participate in Vibe Check
unless it's the only Character in your huddle.",2,6,Common,6904,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/IntrovertPenguin.png
Eth,176,Primo Wizard Penguin,PrimoWizardPenguin,Colorless,Character,Wizard Penguin,"Enters flopped.
This Character can produce _RB_ of any color.",3,2,Rare,8279,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/PrimoWizardPenguin.png
Eth,177,Penguin With a Rod of His Own,PenguinWithaRodofHisOwn,Colorless,Character,Penguin,"Enters flopped.
This Character can produce _T_ as if it were a Rod.",4,4,Uncommon,4435,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/PenguinWithaRodofHisOwn.png
Eth,178,Teleporter Penguin,TeleporterPenguin,Colorless,Character,Penguin,"At the start of your turn,
ice all Characters with vibe 4 or less.
This Character can't have vibe counters placed on it.",7,4,Rare,8031,Clare Altman & CAH,https://ocg-card-catalog.s3.us-west-2.amazonaws.com/Spoiler_Previews/TeleporterPenguin.png
